NodeName,NodeIPAddress,City
LDC-DHISCO-RTR02,10.80.2.52,LDC
LDC-FW01-dev-inet,10.80.2.6,LDC
SCH-D-RTR01,10.50.4.7,SCH
LDC-Core05,10.80.140.43,LDC
LDC-C-RTR01,10.80.140.20,LDC
LDC-10GDCI-RTR01,10.80.140.45,
LDC-10GDCI-RTR02,10.80.140.42,
LDC-D-RTR01.travelclick.com,10.80.140.74,
LDC-L43-MGMT-SW01,10.80.140.24,LDC
LDC-MGMT-SW03,10.80.140.14,
LDC-MGMT-SW06.LDC-MGMT-SW06.travelclick.com,10.80.140.23,
LDC-L43-MGMT-SW01.LDC-L43-MGMT-SW01.travelclick.com,10.80.45.24,
LDC-MSW-MGMT.travelclick.com,10.80.140.59,
LDC-10GDCI-RTR01,10.80.2.18,
LDC-10GDCI-RTR02,10.80.2.17,
LDC-D-RTR01.travelclick.com,10.80.2.13,
LDC-PRE-CORE-SW01,10.80.2.12,
LDC-EDGE-SW01.travelclick.com,10.80.140.21,
LDC-EDGE-SW02.travelclick.com,10.80.140.22,
NYC-WAN-RTR01.travelclick.net,10.55.8.16,NYC
NYC-WAN-RTR02.travelclick.net,10.55.8.22,NYC
NYC-INETSW01.travelclick.net,10.55.14.152,NYC
OTW-INET-SW01.travelclick.net,10.55.121.138,OTW
OTW-WAN-RTR01.travelclick.net,10.55.121.145,OTW
ATL-M-RTR01,10.55.24.1,ATL
ATL-WAN-RTR01,10.55.24.2,ATL
ATL-CORE-SW01,10.55.24.19,ATL
atl-wlc01,10.55.26.6,ATL
atl-sw03-floor3,10.55.26.11,ATL
tc-atl-sw04-floor36.travelclick.com,10.55.26.12,ATL
tc-atl-sw01-floor35.travelclick.com,10.55.26.13,ATL
sng-d-rtr01.travelclick.com,10.55.64.3,SNG
sng-d-rtr02.travelclick.com,10.55.64.4,SNG
sng-coresw01.travelclick.com,10.55.64.19,SNG
sng-access-sw02.travelclick.com,10.55.65.4,SNG
sng-access-sw01.travelclick.com,10.55.65.5,SNG
SNG-WLC,10.55.65.6,SNG
sng-access-sw03.travelclick.com,10.55.65.7,SNG
sng-access-sw04.travelclick.com,10.55.65.61,SNG
ADC-D-RTR01,10.30.2.3,ADC
ADC-DCI-RTR01 (Level 3),10.30.2.16,
qts-vwaas,10.30.2.70,
SCH-CORE-SW01.travelclick.com,10.50.4.1,SCH
SCH-CORE-SW02.travelclick.com,10.50.4.3,SCH
SCH-M-RTR01.travelclick.com,10.50.4.9,SCH
SCH-WLC,10.50.99.65,SCH
SCH-I-RTR.travelclick.net,10.50.99.5,SCH
SCH-CORP-ACC-SW20.travelclick.com,10.50.99.20,SCH
SCH-CORP-ACC-SW21.travelclick.com,10.50.99.21,SCH
SCH-CORP-ACC-SW22,10.50.99.22,SCH
SCH-CORP-ACC-SW23,10.50.99.23,SCH
SCH-ACC-SW25.travelclick.com,10.50.99.25,SCH
SCH-ACC-SW26.travelclick.com,10.50.99.26,SCH
SCH-ACC-SW27.traveclick.com,10.50.99.27,SCH
SCH-ACC-SW28.travelclick.com,10.50.99.28,SCH
SCH-ACC-SW29.travelclick.com,10.50.99.29,SCH
SCH-ACC-SW30.travelclick.com,10.50.99.30,SCH
SCH-CORP-ACC-SW24.travelclick.com,10.50.99.61,SCH
SCH-STACK-SW,10.50.99.60,SCH
bcn-d-rtr01.travelclick.com,10.55.32.3,BCN
bcn-d-rtr02.travelclick.com,10.55.32.4,BCN
bcn-core-sw01,10.55.32.19,BCN
bcn-wlc01,10.55.33.6,BCN
bcn-access-sw02,10.55.33.20,BCN
bcn-access-sw03,10.55.33.21,BCN
bcn-access-sw01,10.55.33.22,BCN
bcn-access-sw04,10.55.33.23,BCN
bcn-access-sw05,10.55.33.24,BCN
bcn-printsw01,10.55.33.25,BCN
orl-d-rtr01.travelclick.com,10.55.48.1,ORL
orl-d-rtr02.travelclick.com,10.55.48.3,ORL
ORL-MPLS-RTR.travelclick.com,10.55.48.5,ORL
ORL-ISP-SW01.travelclick.com,10.55.49.71,ORL
MEL-D-RTR01.travelclick.com,10.55.80.16,MEL
MEL-CORESW01.travelclick.com,10.55.80.19,MEL
MEL-WLC01,10.55.81.6,MEL
MEL-ACCSW02-CECIL_ST,10.55.81.9,MEL
MEL-ACC-SW01.travelclick.com,10.55.81.15,MEL
buc-d-rtr01.travelclick.com,10.55.104.9,BUC
buc-d-rtr02.travelclick.com,10.55.104.56,BUC
buc-coresw01,10.55.104.60,BUC
buc-c-rtr01.travelclick.com,10.55.107.250,BUC
LDC-CORE-SW03.travelclick.com,10.80.0.41,
LDC-D-RTR02.travelclick.com,10.80.2.15,
LDC-DCI-RTR01,10.80.2.16,LDC
LDC-M-RTR-2,10.80.2.25,LDC
LDC-DHISCO-RTR-1,10.80.2.50,LDC
PAR-WLC01,10.55.99.200,PAR
par-d-rtr01.travelclick.com,10.55.96.9,PAR
par-d-rtr02.travelclick.com,10.55.96.13,PAR
par-access-SW01.travelclick.net,10.55.98.2,PAR
par-c-rtr01.travelclick.com,10.55.99.250,PAR
